Metric,Value
Total Execution Time (s),30.120326042175293
Success Rate (%),98.0
Average Best Fitness,-0.9989214566819207
Best Solution Found,-0.9999999543108846
Chromosome for Best Solution,[2.127598413959042e-05, 2.8420448804356013e-05]
Mean of Optimal Points,[0.0016968346840340288, 0.0057503360269073765]
Standard Deviation of Optimal Points,[0.009011461677205629, 0.051003975137879035]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,30
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP30
