Metric,Value
Total Execution Time (s),95.26983642578125
Success Rate (%),67.0
Average Best Fitness,-0.9804223691231256
Best Solution Found,-0.9999997909318954
Chromosome for Best Solution,[-7.39395085033307e-05, -1.7330478290933536e-05]
Mean of Optimal Points,[-0.00027809547833298055, 0.0003140420725221098]
Standard Deviation of Optimal Points,[0.002001829999174437, 0.0027641386773536378]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.2
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR20
