Metric,Value
Total Execution Time (s),49.49453020095825
Success Rate (%),100.0
Average Best Fitness,0.00016009818394668377
Best Solution Found,1.850625972393934e-08
Chromosome for Best Solution,[1.0000143430143298, 1.0000051941919639]
Mean of Optimal Points,[1.000106539459325, 0.9998214685570213]
Standard Deviation of Optimal Points,[0.001317891759408302, 0.0017539252978811509]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.4
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_CR40
