Metric,Value
Total Execution Time (s),116.88155484199524
Success Rate (%),96.0
Average Best Fitness,-0.997388692717553
Best Solution Found,-1.0
Chromosome for Best Solution,[7.41533368558058e-10, 9.376036987802425e-10]
Mean of Optimal Points,[-0.00016810447760392825, 1.7143527631831191e-06]
Standard Deviation of Optimal Points,[0.0011904347023247042, 0.0005590537145584015]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR10
