Metric,Value
Total Execution Time (s),17.84410524368286
Success Rate (%),1.0
Average Best Fitness,-0.5015660014302099
Best Solution Found,-0.9948906285530476
Chromosome for Best Solution,[0.004562574015583354, 0.010971484763132144]
Mean of Optimal Points,[0.0565404286868345, 0.34093728572670967]
Standard Deviation of Optimal Points,[2.3564324183834073, 2.41660829680793]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.3
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,0
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP0
