Metric,Value
Total Execution Time (s),63.64865803718567
Success Rate (%),100.0
Average Best Fitness,1.8155518074823477e-05
Best Solution Found,2.2871346276861776e-15
Chromosome for Best Solution,[1.0000000049013311, 0.9999999886320652]
Mean of Optimal Points,[1.000062268644595, 1.0000715495089059]
Standard Deviation of Optimal Points,[0.00043832215474291645, 0.0007391569729526776]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.05
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_MR5
