Metric,Value
Total Execution Time (s),260.98560070991516
Success Rate (%),98.0
Average Best Fitness,-0.9992923811056188
Best Solution Found,-0.9999999999999998
Chromosome for Best Solution,[-2.3520112836471112e-09, -1.5440200181792199e-09]
Mean of Optimal Points,[8.04094334594194e-05, -8.565309660534587e-06]
Standard Deviation of Optimal Points,[0.0005975047169587559, 0.0001304449854207518]

CONFIGURATION
POPULATION_SIZE,400
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_POP400
