Metric,Value
Total Execution Time (s),65.21808528900146
Success Rate (%),100.0
Average Best Fitness,1.1006784668010278e-05
Best Solution Found,7.266389188779052e-14
Chromosome for Best Solution,[0.9999999718137011, 1.000000036051484]
Mean of Optimal Points,[1.0000053407649627, 0.9999727171936326]
Standard Deviation of Optimal Points,[0.0003478845506749992, 0.0003642856429780684]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.15
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_MR15
