Metric,Value
Total Execution Time (s),48.228148460388184
Success Rate (%),98.0
Average Best Fitness,0.00030693809365380567
Best Solution Found,1.4642394243252776e-07
Chromosome for Best Solution,[0.9999849772778537, 0.9996448224598866]
Mean of Optimal Points,[1.0000511135218595, 1.0000178000336184]
Standard Deviation of Optimal Points,[0.0013721943413688767, 0.0022036166406925756]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.2
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_CR20
