Metric,Value
Total Execution Time (s),17.187394857406616
Success Rate (%),22.0
Average Best Fitness,-0.9465700145991761
Best Solution Found,-0.9999797886714378
Chromosome for Best Solution,[-0.00038542697776901627, 0.000639533985495877]
Mean of Optimal Points,[0.17515670803365502, 0.18637236334699328]
Standard Deviation of Optimal Points,[0.2998504553228242, 0.23764133910522284]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.4
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR40
