Generation,StdDevDiversity,EuclideanDiversity
0,5.7378108460492445,10.43060965110983
1,3.7453040672706788,6.405296926425706
2,3.728725538079753,6.416940632899568
3,2.588482248534534,4.42213636567409
4,1.7298067749695503,2.3112323076590835
5,1.447960382270447,2.5233423687409045
6,0.532415760021158,0.7593946440748178
7,0.8818559788909435,1.625471623616575
8,3.684218948284014,6.349077106760242
9,3.411201120081988,6.001543965516974
10,3.336999757616704,5.876964501708898
11,3.5923996322788128,6.180992692608156
12,1.5557475961171008,2.5111129659952884
13,0.7488991116600804,1.2351982017371452
14,0.2644700610698041,0.40208319638928663
15,0.2828601029108416,0.47003127493958896
16,0.39590591679257936,0.6896749278846379
17,3.8853036647870764,6.6718968471196884
18,2.1839231683836404,3.6217903714287187
19,0.6851130632682222,1.0711545139436425
20,3.7025083835791364,6.371982213207002
21,3.1989342272893477,5.56009268962912
22,1.3866517528751445,1.9685631495484042
23,3.6194994895616412,6.309010893479856
24,3.7774539004792045,6.4848626858549006
25,3.6650008095259072,6.345390304165317
26,2.855545604427461,4.056852493160012
27,3.7631244811520883,6.46235281908484
28,3.7747021692415403,6.486751960320503
29,3.8491751897195163,6.576782100139687
30,2.658880815060466,4.439659439349577
31,2.1353753990479207,3.6063422355313013
32,3.823762112617159,6.592875747277532
33,3.413351672896928,5.975816476679955
34,1.7432971894210252,2.5754706852411897
35,1.5405452305512584,2.3759523705074224
36,1.5131044812815897,2.524394988128349
37,3.772275137688313,6.4845850106187894
38,3.4988999505567326,6.173626869836067
39,1.7187289349718216,2.3471668224046174
40,0.7591616223352645,0.9492831627301982
41,1.1112837120671075,1.846985370067913
42,3.742379328571549,6.392211269932385
43,3.096454984406199,5.368114947595
44,1.8818728252373818,2.943193741608461
45,3.6986765711049197,6.348841843209503
46,3.687625262702745,6.351053748715334
47,3.7780850457999984,6.460737044625302
48,1.7302017179283768,2.513543625351324
49,1.6201758543437963,2.263096936509356
50,1.631016680316379,2.4256007233530497
51,0.8371693204323369,1.177978731652947
52,0.5474348263264326,0.8263477726262267
53,0.5093064055184561,0.8706589270315479
54,0.5466399314772368,0.9421401080928243
55,0.5695229573459252,0.9528099443225411
56,0.48484297160640993,0.8368837568832742
57,0.33770901369537154,0.540471651220525
58,0.35139619039873693,0.5589061382671081
59,0.5685598953972693,1.0005259323051783
60,0.6057401975361099,1.0625959011444273
61,0.4885832701692328,0.6810663158487414
62,0.4869182295765934,0.6850695166914456
63,0.6937632001219266,1.1510044154024033
64,3.7086947792733467,6.3769318656549885
65,0.9839115772824472,1.1566023801766927
66,1.0294613828410277,1.2742868149811415
67,0.9834510675123906,1.1198859137140305
68,3.738981120533297,6.435067629123623
69,3.398223501355857,5.86500130462758
70,3.0813167606238983,5.445674018473094
71,3.7571527263194717,6.492952740975146
72,1.8890666403913792,2.911352137103172
73,0.45741996355697434,0.7083585776513326
74,0.4308099596773166,0.5950513849019281
75,0.4421007399475846,0.6342541869878408
76,0.4589377617807472,0.6921847076356147
77,3.7800130993262275,6.507863817241732
78,3.6604792804434303,6.327719640758836
79,2.668778251055497,3.671412474024899
80,1.482129790819769,1.9922044691002652
81,0.656583784493997,0.8397979019612268
82,0.5544472944455265,0.9049586007063596
83,0.6070512348479803,1.0606160237838413
84,3.793004644425965,6.527717641190451
85,3.298792646032278,5.767592309351681
86,1.7559994082398003,2.7924118095913757
87,0.3158261596649138,0.5124976541083144
88,3.7995126237094152,6.56534535762087
89,3.568320972638313,6.257234675912193
90,3.1570970384689154,5.5448708249762335
91,3.687721442486568,6.282317328267757
92,3.1151810653011194,5.3395419756370375
93,1.545629357526876,2.494421849640522
94,1.1962006350749106,2.0913321475773
95,3.6882423894700644,6.372707485202844
96,3.3117730911983934,5.682414924599043
97,2.811000229552144,4.885102375737481
98,2.698523798254991,4.789644231582913
99,1.7792323737823408,2.777350255022701
