Metric,Value
Total Execution Time (s),18.378433227539062
Success Rate (%),63.0
Average Best Fitness,-0.9719192446078226
Best Solution Found,-0.999999875759011
Chromosome for Best Solution,[-2.3454673944849136e-05, 5.363968721141145e-05]
Mean of Optimal Points,[0.08032958964225079, 0.09119609912035921]
Standard Deviation of Optimal Points,[0.20842717536601363, 0.20508368608236877]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.3
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP10
