Metric,Value
Total Execution Time (s),27.328615188598633
Success Rate (%),96.0
Average Best Fitness,-0.9994042666159644
Best Solution Found,-0.9999998473799636
Chromosome for Best Solution,[3.773654370131663e-05, 5.2784101613467804e-05]
Mean of Optimal Points,[0.0008962913840461662, 0.001108237118663844]
Standard Deviation of Optimal Points,[0.002456843361724821, 0.002907652879202393]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP20
