Generation,StdDevDiversity,EuclideanDiversity
0,58.243705854689225,106.0394418656099
1,21.304668202759487,33.49748577160513
2,0.6654279228743972,0.9607281960311549
3,0.329390525559107,0.5697712456957088
4,0.22415468035683683,0.37875125693953116
5,0.21009973285499778,0.3538864687271132
6,0.19879492076691047,0.33120126977517816
7,0.21562571089795535,0.3588396953270902
8,0.19743209145958296,0.3245631331427798
9,0.21776278681173045,0.3630810632471472
10,0.21299656956144858,0.3573154292152415
11,0.19005307222499562,0.31230387680409827
12,0.18907050214752616,0.31113328585325695
13,0.20345181802968082,0.33470747914393845
14,0.21369557615109794,0.3593887530982764
15,0.1735677212700189,0.2959498626665745
16,0.20571668719382408,0.354336225011758
17,0.16527141485288338,0.2632680486467639
18,0.1804733624568997,0.28424558546062556
19,0.19037846086301008,0.30342507623661963
20,0.18836088947023705,0.30711784089867145
21,0.20811143379315938,0.34980707827028906
22,0.18269914836427298,0.29980431422648185
23,0.1707009374798018,0.270866060949949
24,0.18210444914765972,0.29001668181504864
25,0.21876456928527335,0.3569915229815898
26,0.21321875220960118,0.3512330855111495
27,0.19150953231177378,0.30594235886425447
28,0.2192137866080255,0.3706679960323943
29,0.25614484001466953,0.4465450038732164
30,0.28057585653149963,0.4924733457542792
31,0.2895631019278233,0.4787991100303347
32,0.30512996911339557,0.5108824872918482
33,0.2875716143596758,0.4681954910939284
34,0.2975109338503453,0.49319660333898296
35,0.2904126750430214,0.47721884613978643
36,0.298137559583108,0.5012519970135365
37,0.29484607680709574,0.4705946003854285
38,0.3006360858570102,0.5034162496739003
39,0.3428258226755445,0.5779101746366753
40,0.28739266255996776,0.4634124129978412
41,0.3019514783216801,0.5025823938635623
42,0.28352335208014373,0.4575155603250541
43,0.30763465751497693,0.5157118731648616
44,0.3006558809146441,0.4923735280135973
45,0.31356659251642105,0.5350893835683286
46,0.32549815120864745,0.5500647653636302
47,0.30049762260980056,0.5034433359077918
48,0.27710657840173614,0.45792053759953033
49,0.3018719125609477,0.5040481283137384
50,0.2928265370503156,0.47682615912016296
51,0.29312966471804647,0.4883372325928012
52,0.29557609646360516,0.492480555452057
53,0.301450926960505,0.4910359715323348
54,0.26682179299975317,0.4251320346191714
55,0.2925280328369697,0.48216069076848955
56,0.2912832349511299,0.4716949048779343
57,0.29156133889236235,0.4772389127333056
58,0.31077208092485004,0.5054131676846957
59,0.3109142216484059,0.49816998849822375
60,0.2892124869696001,0.4854398135161738
61,0.2998052620130123,0.5061301844508398
62,0.30792672107608554,0.521252200511136
63,0.3089441278297975,0.535937058282852
64,0.3103930762634093,0.521449608839313
65,0.3305677779856213,0.5666081694958456
66,0.31911438212863696,0.5407720398379169
67,0.3061365883170738,0.5110645403287848
68,0.3086504114453812,0.5072725392859567
69,0.3333298142355311,0.5661730926134411
70,0.310155524299091,0.5021736793432192
71,0.29007614046651825,0.4755336395667823
72,0.29756448149981296,0.5009644445516611
73,0.3104541840919462,0.5042347918784826
74,0.32056748691389847,0.5451131673830953
75,0.32129293278719717,0.5416830881186083
76,0.31997281015913176,0.5419336970260159
77,0.29588234936002544,0.4810175907427329
78,0.29868613480569334,0.4847148063380446
79,0.3022112615247058,0.5040653590101177
80,0.29188274788842833,0.4945066806153485
81,0.284105727363853,0.4640667542647365
82,0.29853554669457827,0.48880411391797524
83,0.29949830626155893,0.4952527663565631
84,0.3021569470113988,0.5109865561580255
85,0.30407791126431516,0.4820469637397704
86,0.3100576182755273,0.5227515351371431
87,0.30617310616461324,0.5193866466807272
88,0.29796248136719206,0.48984992603263977
89,0.29270683945780573,0.486573319686716
90,0.29181418589488617,0.4845898610723086
91,0.31042647379147625,0.5082854523279907
92,0.3042040342892641,0.5064456572501342
93,0.3104414511560057,0.5225356604247929
94,0.30690309489375484,0.5086548157507567
95,0.3074907167616514,0.487487129259607
96,0.3233349686646192,0.5417545962136189
97,0.30824002267415773,0.5002921646229407
98,0.29654157724953023,0.48832011530946606
99,0.30047481741993226,0.4913465123765827
