Metric,Value
Total Execution Time (s),24.39724111557007
Success Rate (%),100.0
Average Best Fitness,4.834148016256333e-05
Best Solution Found,5.309025825887526e-13
Chromosome for Best Solution,[1.0000000064190506, 1.0000007260863275]
Mean of Optimal Points,[1.0001405119913311, 1.0000438362952746]
Standard Deviation of Optimal Points,[0.0007007161132453017, 0.0015693413159984623]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.15000000000000002
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_POP100
