Metric,Value
Total Execution Time (s),66.68169617652893
Success Rate (%),100.0
Average Best Fitness,1.6989383898487343e-05
Best Solution Found,9.607534749761284e-13
Chromosome for Best Solution,[1.0000000075795743, 0.9999990224556528]
Mean of Optimal Points,[0.999982743277974, 0.9999620052553335]
Standard Deviation of Optimal Points,[0.00043009413996225284, 0.0005882668552716354]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_MR20
