Generation,Value,StdDev
0,38.43780788408084,50.58608967346874
1,13.853925398999753,22.90553447129363
2,5.227780315828834,11.256488894662423
3,1.2843317383494943,2.8684394952538774
4,0.6104129940316533,1.0399578806066503
5,0.2891873673516435,0.40328132698243063
6,0.180398673571267,0.24904751248019646
7,0.1281225837602568,0.18480252707966163
8,0.08623659171451468,0.12957735669095796
9,0.05590848529045469,0.0893511833927017
10,0.038600510575601876,0.0669984279520337
11,0.028657372817794003,0.05128249748043023
12,0.021071824906113555,0.041812011521931904
13,0.017635216538073907,0.03914494388035557
14,0.015923196775652765,0.03775255067509681
15,0.012025151121587682,0.03049143633345923
16,0.008858639705175291,0.025536124244105205
17,0.0040679110713468265,0.008564865780212172
18,0.0031589510535890188,0.007102933905150754
19,0.0025862341615661266,0.006772518077152796
20,0.0021902067275010135,0.006575104421890016
21,0.0013317451175882667,0.002722471591326485
22,0.001179296480688735,0.002651073441004638
23,0.0009697908530513362,0.0024209008746554064
24,0.0008791864995727852,0.0022893259541004645
25,0.0008470522386421303,0.0022859125928931835
26,0.0008053962360060167,0.0021851226924687506
27,0.0007543964715096111,0.0020325183418335967
28,0.000714550982162478,0.0020085856795733084
29,0.0005976370058072609,0.001821532077780461
30,0.0005888377307770514,0.0018223493004626734
31,0.0005561895915879076,0.0018132749066412982
32,0.00044785427478082437,0.0016943650029024827
33,0.00044533058107046645,0.001694492850232039
34,0.0004313869689787282,0.0016951486423375716
35,0.0004192939799744614,0.0016950423470885286
36,0.0003059964602068692,0.0015283621509810073
37,0.0003015158785896404,0.0015289643089306513
38,0.00027567691726556725,0.0014930745244288806
39,0.0002735093371099861,0.0014933764927452606
40,0.00027214433381025167,0.0014935652515405756
41,0.00027142923765783493,0.0014936809897390653
42,0.00027123942832132377,0.0014937077497763
43,0.00012810197197888544,0.0005789337650748241
44,0.00012179920475248704,0.0005746857122592145
45,0.00010984709263402852,0.0005629086339297088
46,0.00010915115164461215,0.0005630004072838504
47,5.6199097995154704e-05,0.00019041097504935068
48,5.550215303984316e-05,0.0001900751085856782
49,4.5611230372595635e-05,0.00014883213953333573
50,4.341010996963771e-05,0.00014814399368727804
51,3.806563871605945e-05,0.00014083567844926792
52,3.422362986868987e-05,0.00013125247595170797
53,3.107898625195614e-05,0.00012230044316400548
54,2.9413089245748915e-05,0.00012137508307586251
55,2.9381778911692444e-05,0.0001213822623939719
56,2.8831004866299806e-05,0.00012137425603366017
57,2.7743251296545623e-05,0.00012020705480154848
58,2.7390842834540367e-05,0.00012025102689805928
59,2.7329763003325247e-05,0.00012026313656805379
60,2.7324788795669842e-05,0.00012026423298289116
61,2.7317977608816388e-05,0.00012026575964211126
62,2.7257742102860435e-05,0.00012017553762461302
63,2.7197242964618026e-05,0.00012007418625573823
64,2.719549677842628e-05,0.00012007457479215698
65,2.6545889504454e-05,0.00011988631146522561
66,2.6306692467100125e-05,0.00011977554128079303
67,2.630664603069878e-05,0.00011977555147741785
68,2.629643195343848e-05,0.00011977726765948717
69,2.4349846638066705e-05,0.00011772852614715256
70,2.4055518982856005e-05,0.00011768841990725594
71,2.4053788344609612e-05,0.00011768558964641344
72,2.4025251109218462e-05,0.00011769106049936383
73,2.401915000018742e-05,0.00011769179618005226
74,2.4013256695356206e-05,0.00011769294830849336
75,2.3864754936758788e-05,0.00011770223884952541
76,2.3370511038041252e-05,0.00011761757642335608
77,2.27743039472018e-05,0.00011686073770146854
78,2.2521997525582633e-05,0.00011676903616795342
79,2.025436353849092e-05,0.00011477246064850406
80,2.0055774105407962e-05,0.00011478822628689756
81,1.9897858037107138e-05,0.00011480687704129342
82,1.9795546371558856e-05,0.00011482018493052016
83,1.975257140458398e-05,0.00011480617459041214
84,1.969192133369292e-05,0.00011480501107983492
85,1.9691750407162175e-05,0.00011480504016078015
86,1.95706591510918e-05,0.00011480197273514245
87,1.940814651986536e-05,0.00011481649200988137
88,1.9399787569489095e-05,0.00011481782306170825
89,1.9388517375459476e-05,0.00011481114502726518
90,1.93835795168976e-05,0.00011481089545480336
91,1.8838021791183182e-05,0.00011458954381938522
92,1.8837861359009898e-05,0.00011458955076428181
93,9.670894392532326e-06,3.5172639645734506e-05
94,9.663211442568453e-06,3.517464661652148e-05
95,9.378165046832882e-06,3.506049982803924e-05
96,7.348972200635689e-06,2.904538619118674e-05
97,7.348678861208963e-06,2.9045455477267946e-05
98,6.970332444312596e-06,2.8870126697886377e-05
99,6.9311868538937615e-06,2.8862074641942457e-05
