Execution,BestFitness,BestSolution
1,7.888360418734047e-13,[1.0000000618204377, 1.0000006674881006]
2,5.547827659067239e-06,[1.0002444764714362, 0.9995768909505662]
3,3.0847202525887744e-06,[0.9999731875070328, 1.001737752273014]
4,1.0439255851724755e-07,[0.9999684362591437, 1.0001220704210314]
5,3.444353221509679e-07,[1.0000597954095123, 0.9998474821297317]
6,0.00016818601309288167,[1.0013673499434017, 0.9994984718216956]
7,1.4766579353733953e-07,[1.000039237595259, 1.00009679879812]
8,1.8834728603168387e-11,[1.000000456751693, 1.0000003081352506]
9,3.7547871996116154e-08,[1.0000204451628378, 1.0000000003050087]
10,1.8889170321944663e-07,[1.0000458555907525, 0.999996759923506]
11,6.940366308426793e-08,[1.0000277806020395, 0.9999911092484834]
12,6.294445536985475e-08,[1.0000000079992621, 1.000250887012835]
13,5.961463407752398e-08,[1.0000028917155461, 1.0002426177381578]
14,2.52242070796808e-08,[1.0000163093033292, 1.0000364824522368]
15,1.9382145039974775e-08,[0.9999853116098263, 0.999998517408216]
16,6.6898358243297e-07,[0.999999993490766, 0.9991820966367699]
17,1.7645222912192946e-06,[0.9998599936309116, 0.9999386413564311]
18,2.529830381798534e-07,[0.9999960947986477, 1.0005016080458558]
19,5.23510785452575e-05,[0.9992365786688977, 0.9999942211649898]
20,2.189678603769266e-07,[0.9999999252478258, 1.000467937459085]
21,9.999018136144517e-07,[1.0001055058779458, 0.9999999999953563]
22,7.733680041565679e-09,[1.0000070481658143, 1.0000571961868239]
23,3.262413636719591e-07,[0.999991649879997, 0.9994343373657135]
24,6.7241961708619215e-06,[0.9999972972502598, 0.9974073649618953]
25,1.6400371650231403e-11,[0.999999746570049, 1.0000032605386453]
26,9.310642854074786e-08,[0.9999717360853715, 1.0001461118096566]
27,5.403760711636394e-08,[1.000024093157691, 0.9999564668647494]
28,8.064894476876206e-07,[0.9999861633040983, 1.0008884071121225]
29,2.367632133716503e-08,[0.9999837648988641, 0.999999949919157]
30,2.090553715096906e-07,[1.0000011402935611, 1.000457096105326]
31,3.7084653553566516e-05,[0.9993574637367422, 1.0000005229977407]
32,6.679176809904743e-06,[1.0002726841077527, 1.0000008244517415]
33,4.1570324394567915e-07,[1.0000016141118815, 0.9993554362718875]
34,1.5211319313110062e-08,[0.9999999756945845, 0.9998766660747676]
35,7.543823706695452e-10,[1.0000028979669708, 1.000000028933567]
36,1.1301481024938213e-08,[0.999988939084183, 1.000017656948227]
37,5.762997348916411e-07,[1.000072683472715, 0.9996810072050895]
38,1.3553322995969355e-07,[0.9999611663849736, 0.9999916032997176]
39,4.4467839912418415e-08,[0.9999979851529592, 1.0002100073877778]
40,1.860105603547428e-13,[0.9999999998880367, 0.9999995687118894]
41,0.00021913088791139756,[0.9984380640729182, 1.0000449510618314]
