Generation,StdDevDiversity,EuclideanDiversity
0,13.373663450207953,12.032390051682865
1,9.964189246061519,9.841073205156023
2,7.452296644330842,7.948141754984427
3,5.404954279215218,6.065546365819385
4,5.7358493871835945,7.149430649844697
5,5.554443358892724,9.604381154326832
6,5.541647616718081,9.3407880501842
7,5.432388151097529,9.353682088850551
8,5.276083211524271,9.014946520568765
9,5.505209896706944,9.434131596374327
10,5.611669561689398,9.697709127776426
11,0.24003370739190477,0.28836040325486123
12,0.29810312469926736,0.3700946271996884
13,5.476312968709753,9.47257268635958
14,5.577472560981791,9.583070361250442
15,4.747359018778919,8.554698191704748
16,5.676283590803939,9.75407660504152
17,5.845436157641357,10.093630429653842
18,5.573878088953922,9.66963419161349
19,5.221947191929295,9.098483248170632
20,4.630893792043349,8.29825233794159
21,0.24517396036923794,0.2123121484963988
22,0.2512181924431961,0.2845160527543666
23,0.3942262862060636,0.5121823522924984
24,0.4109190052136622,0.5807233073085349
25,0.24551151137946553,0.22247468573805398
26,0.3946595614988895,0.4610289344118563
27,5.544066814861731,9.535786374775283
28,4.78945306632736,8.22636559994807
29,5.2919227863490885,9.171499083968214
30,5.459064163871486,9.569719413603874
31,4.227274897416751,7.722230609763755
32,3.917871220647794,7.102750418188035
33,3.4299887454322695,6.085322928616984
34,0.22656785043569813,0.2333508702493925
35,0.2814715711661009,0.3194289171247691
36,5.326632586270536,9.197491413349473
37,5.661124097026049,9.716641217553867
38,5.3222334424165005,9.233058891488575
39,4.28138740837529,7.737694204890931
40,5.606957045154559,9.6181757845419
41,5.1999101015222156,8.797435172754904
42,5.40694385766456,9.403585220386363
43,5.291064828048109,9.091229414643356
44,5.601405681443336,9.665270406903677
45,5.393105752546447,9.380143772023246
46,4.945533689341058,8.53975355219205
47,0.23813469013562216,0.19034407635475953
48,0.33952081639615916,0.40902235413882426
49,0.34008903536223867,0.45374171539687613
50,0.3698074302397406,0.5031481945263216
51,0.18914870728996958,0.16615382760318134
52,0.31144281616966335,0.31969667329893736
53,0.24246209021426474,0.24635159348066873
54,0.3150227628615674,0.38951194216072865
55,0.34794469304919934,0.4281760737147281
56,0.32840584767734365,0.46713660589856154
57,0.37567968030432075,0.5063685038842706
58,0.25468737117849843,0.2372857472788757
59,0.3165387023435231,0.3672062467616107
60,0.3868350797366027,0.5274911900872639
61,0.4335884564753725,0.6157942656092331
62,0.42220738882071385,0.6270716854566637
63,0.300257493509508,0.28352648489265303
64,0.21718842090941076,0.21197759049046755
65,0.2345683500798915,0.25743691154928955
66,0.2971149157031623,0.32540382764216225
67,0.291295557736419,0.40162305164944034
68,5.589431461772875,9.700315125288165
69,5.150713518283961,9.036086827975895
70,4.054472362353966,7.268412621710648
71,3.699424594672995,6.459599960322372
72,2.926287631732073,5.006807502533193
73,2.6056121638777388,4.402770750353851
74,2.22478595866032,3.6774027329603003
75,1.7006506002412776,2.8087611306970026
76,5.487350506384992,9.509001199831033
77,4.288375511631494,7.774646998434453
78,0.2609955055289517,0.24241046153852977
79,0.30601000218352986,0.36510435128783153
80,5.555497367268526,9.633060169877163
81,4.660523647559523,8.340669212328764
82,3.807175625398825,7.002114083027972
83,3.6864274350042994,6.755030482384991
84,5.663603668333266,9.661330433907619
85,5.6074176461792105,9.576692119432362
86,5.28973556801199,9.054473594402245
87,4.863345685988177,8.127347611337571
88,4.4668893964138086,7.510381679033152
89,5.414957166165982,9.353562707255154
90,0.263567862282555,0.2701156214684598
91,5.6107975637515946,9.655981323705797
92,4.138389712103013,7.268717686031938
93,5.44191860296601,9.479428277188143
94,4.494070235629255,8.113164219782098
95,5.4974474628501415,9.494193381946992
96,5.217203314295157,9.079954729522308
97,5.485800243552621,9.455722859793259
98,0.2562846426090955,0.24696526303551167
99,0.18819027204357602,0.18060664645871125
