Metric,Value
Total Execution Time (s),50.60233998298645
Success Rate (%),100.0
Average Best Fitness,3.893211403434806e-05
Best Solution Found,1.1401917115114965e-09
Chromosome for Best Solution,[0.9999982287686628, 0.9999707018303328]
Mean of Optimal Points,[1.0001247963164155, 1.000113624330652]
Standard Deviation of Optimal Points,[0.0006404612788528389, 0.0008238176350856776]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.6
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_CR60
