Metric,Value
Total Execution Time (s),103.28781819343567
Success Rate (%),86.0
Average Best Fitness,-0.9910399096521231
Best Solution Found,-1.0
Chromosome for Best Solution,[2.198354260466937e-10, -8.179038490174246e-10]
Mean of Optimal Points,[5.126529242647239e-05, 9.365613835378687e-05]
Standard Deviation of Optimal Points,[0.0008101136078005096, 0.0006614068303177757]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,40
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP20
