Generation,StdDevDiversity,EuclideanDiversity
0,50.34595902292031,90.54958439163255
1,3.139824389066126,4.247683405795753
2,1.3260442466290019,2.2282106400117034
3,1.379774448383448,2.4389292196717474
4,1.0988374403453958,1.9663001831597982
5,0.9740912906056054,1.716740248821041
6,1.0682162230012584,1.8910057969325473
7,0.6139692315610354,1.0974893418750755
8,0.7752515730404425,1.3869681029774654
9,0.842109481353382,1.5067442371390944
10,0.790263393075938,1.401225118796243
11,0.974749190361385,1.7306143727462098
12,0.9700666146708801,1.7399819814557809
13,0.9486887109116265,1.67823417286267
14,1.2122504939370033,2.110194272482424
15,1.1244616760913018,2.0082119788932
16,0.5361877572140619,0.9708875228490161
17,0.7401622145203435,1.325652055548299
18,0.8908275107139629,1.5923098357575323
19,0.980885042642923,1.7286219290563118
20,0.6454245586892577,1.1585673144642563
21,1.4637489653830582,2.578686735561619
22,1.2958468134829029,2.377577235762586
23,1.33999540213572,2.4652331703100216
24,1.038849544090955,1.8464982406510924
25,1.2096110189415206,2.1535933912970817
26,0.8182347379302561,1.3698853069669452
27,1.4650945447068608,2.574809246126124
28,1.207278401649159,2.1973265795857295
29,1.0475280040780177,1.8277666572914868
30,1.660160900470669,2.777278941862325
31,1.7274680906624087,3.117422145768681
32,1.7811159281264037,3.2187626540936733
33,1.836661125974435,3.3396970830980215
34,1.1542379531539142,2.026948408510365
35,0.5999900089536461,1.0888916814974352
36,0.7271545047365185,1.2971504201062105
37,1.4619270753527054,2.5589372521450207
38,1.4649320076994599,2.7207291645389855
39,1.2324661020922234,2.2570067500334035
40,1.3723776677595487,2.4540513834797753
41,1.4750733253502877,2.6466724351415216
42,1.2178480261026294,1.884636342557314
43,1.3290363264789846,1.9969441210057708
44,1.4294166495874072,2.52388132450197
45,1.2737245020571393,2.254807281336923
46,1.0889925423770717,1.8955893197884444
47,0.9894664574746328,1.7068834790930705
48,0.9143496253316379,1.6069299013524847
49,0.8306354446986519,1.4820410070059533
