Metric,Value
Total Execution Time (s),49.836204051971436
Success Rate (%),100.0
Average Best Fitness,1.4423788788487844e-05
Best Solution Found,3.7200342912541225e-17
Chromosome for Best Solution,[0.9999999993852009, 0.9999999981977981]
Mean of Optimal Points,[1.000035746607017, 0.9999302430277044]
Standard Deviation of Optimal Points,[0.00039094460619084584, 0.0007584421942344941]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_POP200
