Metric,Value
Total Execution Time (s),105.64892077445984
Success Rate (%),96.0
Average Best Fitness,-0.9978793601188424
Best Solution Found,-1.0
Chromosome for Best Solution,[-1.1355374296179785e-09, -7.831705304395526e-11]
Mean of Optimal Points,[3.953382214891979e-05, -1.1649485822599492e-05]
Standard Deviation of Optimal Points,[0.00025581721354650224, 0.0002100179023348101]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.15
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR15
