Metric,Value
Total Execution Time (s),111.53991603851318
Success Rate (%),100.0
Average Best Fitness,-0.9999985210655103
Best Solution Found,-1.0
Chromosome for Best Solution,[7.295278892406775e-10, 1.328472962464868e-10]
Mean of Optimal Points,[-2.0555567776670262e-05, -5.771386333605411e-07]
Standard Deviation of Optimal Points,[0.00014868434998470585, 0.00013516110673886163]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR20
