Generation,StdDevDiversity,EuclideanDiversity
0,34.18793598114796,57.54502603449633
1,32.67736033308643,54.49443974626473
2,43.93632023983963,75.57359673184123
3,38.834703192041644,67.87853760446913
4,7.840455101797608,8.761826183748463
5,0.7040880171384037,0.8521436204060231
6,0.5338042114750103,0.7280924409792359
7,0.6993773182178502,1.1015350201566587
8,0.7538154442981833,1.2683013119000213
9,0.5463515618356981,0.7389867544652778
10,0.7248409207723022,1.1354627858320332
11,0.5091172102564631,0.687048529008433
12,0.5064462474129385,0.6790658572197249
13,0.793720359277545,1.4247083911723686
14,8.768576607132683,15.152294645722465
15,1.9227945892351068,2.6390755722563592
16,8.741345350238209,15.046516903191554
17,5.442762300212853,6.8243724355203526
18,8.603726709974872,14.892668201695844
19,6.056412127983718,8.854986383578607
20,1.7578460804206273,2.2200661099271404
21,1.422508153851184,1.864583640120131
22,2.863345622465975,4.513885789724801
23,8.813040788588545,15.134349667432211
24,2.2013190397411675,2.684648472880483
25,0.7025792846083717,1.0743455835396463
26,8.761734919507795,15.159062358531356
27,7.624918097501309,12.976182533257107
28,7.171927474995874,12.09445588100053
29,1.8840277283705147,2.46363764807372
30,8.704097250531087,15.169444664122636
31,2.3534498614271104,3.0041558948816363
32,1.5835061170542306,2.1349102516296754
33,1.2764794781240123,1.95770216811331
34,8.81658439285767,15.228552986835014
35,2.2061101595768724,2.846325131338842
36,0.680741403027059,0.9540111430394657
37,0.539732255678538,0.7735224857245511
38,0.4967622886766837,0.7167395114324066
39,0.5431407131555348,0.8238328013612816
40,0.4535860192002309,0.7009024963304614
41,0.3723683045873948,0.4729072467112301
42,0.32771885355138536,0.42434780048973536
43,0.5699207900461407,0.9077631955289536
44,8.707767034820073,14.968168619548395
45,1.9272042147725252,2.5718572878764534
46,1.8140155504231046,2.325994219211606
47,0.6258812527406379,0.9143029742607589
48,0.6660416487976826,0.9963224514261638
49,8.901579679042204,15.22972610285699
50,0.5199001662611757,0.5196018207765154
51,0.6002196697642386,0.7996542130532039
52,0.5355502837347026,0.8840047120389529
