Execution,BestFitness,BestSolution
1,-0.9999872813021072,[0.0005106688407063853, 0.0003001324115964321]
2,-0.999996875448961,[0.0002813581542904231, 8.385815899480953e-05]
3,-0.9999272758144575,[0.0004844859408137392, 0.0013309796295356557]
4,-0.9999554222335939,[0.0010385682301424781, 0.0003887491718632674]
5,-0.9999702791129348,[0.0008910274584001954, 0.00016113592779409824]
6,-0.9999607376777467,[0.0007391503937098642, 0.0007326455583130942]
7,-0.999987127455748,[4.1351039605008744e-05, 0.00059447144156477]
8,-0.9997250060377291,[0.002655535951071597, 0.0007313476974446509]
9,-0.9999186185629381,[0.0002782330483376283, 0.0014722950985767147]
10,-0.9999707839350654,[8.006026317575188e-05, 0.0008941804459259295]
11,-0.9362450432458883,[0.1788475067344093, 0.4884081245530606]
12,-0.9999945221380593,[0.0003608256539251453, 0.0001446324934466503]
13,-0.9999852481660492,[4.8090843545178785e-06, 0.0006379075412322743]
14,-0.9999611264829754,[0.00016786424380643705, 0.001021865192432414]
15,-0.9999834336761402,[0.0006641704782721636, 0.00012602442011011572]
16,-0.9999704939607704,[0.0004925783809606177, 0.0007558665906013395]
17,-0.9999879576418,[9.320325950179509e-05, 0.0005687859703067399]
18,-0.9362452554986689,[0.07294833327051498, 0.5151221362710766]
19,-0.9999995396671382,[1.8675463018702487e-05, 0.00011113085355674013]
20,-0.9999975140437849,[0.00017687948793954078, 0.00019311086569884228]
21,-0.9998483479444743,[9.511777662263299e-05, 0.0020432010555593294]
22,-0.9999670418484634,[0.0009425024822693473, 0.0001445320589970045]
23,-0.9999945578842636,[0.0003874624619327749, 6.674461657807385e-07]
24,-0.9999938185675519,[0.00015124106082242683, 0.00038425092030247576]
25,-0.9999821825479209,[3.369287897492246e-05, 0.0007002739812499437]
26,-0.9999984753909712,[2.0240294656193036e-05, 0.00020407971996216911]
27,-0.9999944395751588,[0.00035221397660190057, 0.00017127939476502263]
28,-0.9999951415362099,[0.00012765241521994763, 0.0003431204843241664]
29,-0.9998995515663577,[0.00012241884699537575, 0.0016601500922104329]
30,-0.9999596121907748,[0.00018018176762946148, 0.001040046198876432]
31,-0.9999353828630797,[0.0013295520138451034, 0.00012195004232129492]
32,-0.999985724324544,[1.1495377202019874e-05, 0.0006274404195028005]
33,-0.9999645119091528,[0.0006701713556674926, 0.0007279174622746298]
34,-0.9999859518197001,[4.1256752383311834e-06, 0.0006225116982175871]
35,-0.9999694645276248,[5.8456621038871504e-05, 0.0009159417643588297]
36,-0.9999979690929898,[0.00011253520063170264, 0.00020823277306714072]
37,-0.9999166945717002,[0.00040820945182595825, 0.0014599692066344927]
38,-0.9999826858503758,[2.3981444806531194e-05, 0.0006906948529136203]
39,-0.9999941392237273,[7.257432029561528e-05, 0.00039548688083690386]
40,-0.9999897979147688,[0.00042568714089274984, 0.0003165884643756556]
41,-0.9999493345237521,[0.0011582335835932378, 0.00023703806696395713]
42,-0.9999668466529934,[0.00048494565512535726, 0.0008242651144230173]
43,-0.999988757853889,[0.0004578976369303822, 0.0003169528244387765]
44,-0.9999146802816447,[0.0015262807882920892, 0.00015550486682935905]
45,-0.9999987722202102,[7.34206868509002e-05, 0.00016875782650294102]
46,-0.999999371800607,[5.56370497769576e-05, 0.00011930700220852408]
47,-0.9999787245298936,[6.316222656121973e-05, 0.0007634947573647022]
48,-0.99999719018001,[0.0002704900576127045, 6.593540338428738e-05]
49,-0.9999991014788745,[0.0001572429398489783, 7.839324454250729e-06]
50,-0.9999845626683938,[0.0003549053334634955, 0.0005476329377447353]
51,-0.9999705781675259,[0.0003128556202375288, 0.0008448468110477947]
52,-0.9999925998339214,[6.21354555389031e-05, 0.00044752899876643326]
53,-0.9999959641316318,[9.033916406975262e-05, 0.00032120598696816494]
54,-0.9999916561399053,[0.0004376645099535281, 0.00019653465915103752]
55,-0.9999940559025114,[0.00012781147161333717, 0.0003842390636131787]
56,-0.9998116578688395,[0.0009671519405086704, 0.002064119813853793]
57,-0.9999941451201781,[0.00019161957473035063, 0.00035326503096411166]
58,-0.9999841673692315,[0.00025342761773150535, 0.0006103597232164359]
59,-0.9999874577321022,[7.071988828866171e-05, 0.0005839467023216471]
60,-0.9999996073823789,[9.390143188947597e-05, 4.487040723388791e-05]
61,-0.9999851343440811,[0.00030954701141094887, 0.0005605976754863295]
62,-0.9997645433897129,[0.0013896907861021823, 0.0021364989308816362]
63,-0.9999044529859914,[0.00016330774653583457, 0.0016153002231547031]
64,-0.9999994034047268,[0.00011256489994526664, 6.153817706111564e-05]
65,-0.9999983669981154,[0.0001962009032139278, 8.095404945374085e-05]
66,-0.9998490203084364,[0.0015444102191413123, 0.0013341533510872194]
67,-0.9999966971171881,[0.0003018062962835133, 5.202800597459145e-06]
68,-0.9999951740132539,[0.00026709447446282564, 0.0002485788129001909]
69,-0.9999773054613108,[0.0002893119988645054, 0.0007364506609286448]
70,-0.9998930037316724,[0.0005285918230107933, 0.001634722572115055]
71,-0.9999958520221789,[4.992858899521835e-05, 0.0003345657927661394]
72,-0.9999101734535181,[0.0014963110164908366, 0.0004889803193739439]
73,-0.9999678966087625,[0.0006263091064454551, 0.0007023939343061558]
74,-0.9999888465949867,[0.0001949277132196059, 0.0005193115411388227]
75,-0.9999213405818775,[0.00137493304856795, 0.0005287072790191027]
76,-0.999901434419507,[0.00094271697430659, 0.0013529320613886453]
77,-0.999994203884284,[0.0003280697283492007, 0.00022861192389511675]
78,-0.9999968462960503,[0.00028165597592699765, 8.75713021708524e-05]
79,-0.9999882634603593,[0.0005078604768067319, 0.00025660401850557957]
