Metric,Value
Total Execution Time (s),121.37364840507507
Success Rate (%),90.0
Average Best Fitness,-0.9940474399357737
Best Solution Found,-1.0
Chromosome for Best Solution,[-1.5394038227797313e-10, -2.678432020202786e-10]
Mean of Optimal Points,[-5.967528707031825e-05, -3.5792985485703674e-05]
Standard Deviation of Optimal Points,[0.0005006058106672425, 0.00030800788647086704]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,60
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP30
