Metric,Value
Total Execution Time (s),18.501522302627563
Success Rate (%),35.0
Average Best Fitness,-0.9560212848174914
Best Solution Found,-0.9999999800850793
Chromosome for Best Solution,[2.073092397559841e-05, -1.0936448955352243e-05]
Mean of Optimal Points,[0.21190053010432425, 0.03691943096304396]
Standard Deviation of Optimal Points,[0.2555230907669834, 0.2538819902063816]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR10
