Metric,Value
Total Execution Time (s),18.686695337295532
Success Rate (%),34.0
Average Best Fitness,-0.9530783370418028
Best Solution Found,-0.9999086638176291
Chromosome for Best Solution,[-0.001343085107014405, 0.0008460605572816163]
Mean of Optimal Points,[0.22343205799667268, 0.1572985105994858]
Standard Deviation of Optimal Points,[0.24906047928771094, 0.2051127679636435]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.7
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR70
