Metric,Value
Total Execution Time (s),133.1347851753235
Success Rate (%),93.0
Average Best Fitness,-0.9955427512751944
Best Solution Found,-1.0
Chromosome for Best Solution,[-1.3958852765745515e-09, -4.544971627525049e-10]
Mean of Optimal Points,[6.427660614091573e-05, 4.823646797097185e-05]
Standard Deviation of Optimal Points,[0.0005857361590232405, 0.0004203499385424038]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,80
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP40
