Generation,Value,StdDev
0,-0.17209991912053546,0.18788865715475042
1,-0.2694292449655564,0.25242873651826975
2,-0.30947101861609944,0.26280551782696876
3,-0.3624729791001558,0.29139758549762196
4,-0.4131388359587625,0.301252001994584
5,-0.4534544338023909,0.30171670668867656
6,-0.48334296171748137,0.30774014483762335
7,-0.5161432990083852,0.31565204441443945
8,-0.5570678848005319,0.3176783571918294
9,-0.580937149972317,0.31892286713932405
10,-0.6243637431739983,0.30719399884013365
11,-0.6503778097458429,0.30229700379971514
12,-0.6698101815709697,0.2985312022182344
13,-0.6944125552864401,0.29542295931217016
14,-0.7138379743345443,0.2866983887575818
15,-0.7295391285581434,0.27431514591159323
16,-0.7558838759443849,0.25209526924722314
17,-0.7745791980415244,0.23783242522756276
18,-0.7918080298244625,0.2293437125463617
19,-0.8019483411725699,0.22497263615395718
20,-0.8136029697750135,0.21872438872739514
21,-0.8304458244279226,0.21049220669668392
22,-0.8468757604842699,0.19983415492825193
23,-0.8623974634300556,0.18973305770519386
24,-0.8664621306571518,0.18198208426560444
25,-0.8743886649609627,0.17170839211307176
26,-0.8855135464634533,0.16356864090671755
27,-0.8884754143921485,0.1615216218903406
28,-0.8995267069160733,0.1412122374960737
29,-0.9105905483338025,0.12480760530414145
30,-0.9168663034946344,0.11905488735501771
31,-0.921956441121916,0.11558897968184824
32,-0.9235267745046145,0.11544161044964767
33,-0.9278469479773511,0.11197674537329885
34,-0.9314043344439749,0.10534062721480712
35,-0.9367705432301646,0.09955725881160876
36,-0.9416048766963273,0.09309797543778311
37,-0.9453606420528833,0.08779991510818426
38,-0.9517657098447616,0.07154570020945565
39,-0.9575108931208425,0.055590308374770865
40,-0.9602630961720111,0.0467110262216562
41,-0.9611752221165676,0.045357401308685145
42,-0.9631833457125394,0.04539870923937277
43,-0.9644107566315467,0.045470051631881274
44,-0.9650776303362575,0.04558899441340888
45,-0.9675302461467931,0.04219263443818692
46,-0.9694646045362505,0.04190488815986156
47,-0.9716771141462861,0.038269954260440525
48,-0.9735668326418986,0.0376521974443716
49,-0.9746290305556162,0.037698415017000456
50,-0.9753470034131031,0.03776675260362108
51,-0.9764544360074393,0.03699581124440649
52,-0.9781980856389515,0.03243790263629382
53,-0.9803213998931019,0.026823853945554265
54,-0.9812308374574896,0.026455396754060733
55,-0.9827656316982725,0.025212259647093057
56,-0.9833280205992281,0.0247029959106327
57,-0.9839669351690442,0.02437033150605508
58,-0.984380451447769,0.024266478167684683
59,-0.9846826828101445,0.02426197406515387
60,-0.984848029087047,0.02429451763467689
61,-0.9855190521867024,0.023857527746205878
62,-0.9857011077525335,0.02392786986544591
63,-0.9857650222455212,0.0239448374416086
64,-0.9866459658558193,0.023048940999287938
65,-0.9868779590224928,0.022894893319324497
66,-0.987067427127581,0.022827740505572024
67,-0.9872770487299733,0.02269991765079001
68,-0.9876380409743913,0.02265508265194273
69,-0.9886393736898396,0.021534619347781517
70,-0.9886838410855028,0.021553615533231808
71,-0.9888014819632593,0.021575402261627612
72,-0.9896262477940715,0.020780469915031
73,-0.9905930623863015,0.0194759181560883
74,-0.9907311477566254,0.019302227064166455
75,-0.9908845278672166,0.019316662820645775
76,-0.9914080905864975,0.018843447225582517
77,-0.9915198868667897,0.018852949969981065
78,-0.9917902570642447,0.018796517507911364
79,-0.9920846838190494,0.018624987868015003
80,-0.9922175051214757,0.01863175502482546
81,-0.9922221766562258,0.018632793087586003
82,-0.9922782767544017,0.018642764161411467
83,-0.9923859814763506,0.018647261434296895
84,-0.992518059350872,0.018660628667007236
85,-0.9925202800960973,0.018661503974665778
86,-0.9928334189893703,0.018427605311612496
87,-0.9930849944792126,0.018281058227845023
88,-0.99329770479543,0.01823194996732176
89,-0.9933958683126707,0.01823214169330226
90,-0.9934192902171732,0.018237366666187235
91,-0.9934616135650279,0.01824601067681072
92,-0.9934681709702018,0.018246919101097558
93,-0.9935616902090462,0.018250794060641378
94,-0.993569305606697,0.018252828821166852
95,-0.9935939118481926,0.01825727718587359
96,-0.9937369789009703,0.018221525954629076
97,-0.9938158567635231,0.018240277995166344
98,-0.9938192365245087,0.018241403981871157
99,-0.9938237637560686,0.01824184041377548
100,-0.9938555953631583,0.0182495560177935
101,-0.9938895238520604,0.018249757787297347
102,-0.9939599394816001,0.018211608603273467
103,-0.9940460298081389,0.01820793838841326
104,-0.9940800329756989,0.018214403392212697
105,-0.9940891095839494,0.018217057300857518
106,-0.9940891705511757,0.018217075980897758
107,-0.9941087686424704,0.018221679665198585
108,-0.9941089078275382,0.018221724491613557
109,-0.9941164774063825,0.018223998685463684
110,-0.9941181933125424,0.0182245379359565
111,-0.9941185691336972,0.018224658251201543
112,-0.9941238410877298,0.018226302741164404
113,-0.994142105397287,0.01823120695867388
114,-0.9943750213078819,0.017629441321801113
115,-0.9943750396117895,0.01762944689311986
116,-0.9943750422152132,0.01762944772376402
117,-0.9943775889615664,0.0176302481437331
118,-0.9943777411944555,0.01763029658198053
119,-0.9943795775164879,0.0176308679921393
120,-0.9943919687268035,0.017629556994322323
121,-0.994392724859196,0.017629795244733324
122,-0.9944035916441649,0.017632904348295793
123,-0.994404374192941,0.01763296921640566
124,-0.994404374599047,0.017632969345259385
125,-0.9944060210811974,0.017633486178237286
126,-0.9944060368275877,0.01763349117156674
127,-0.9944061595315726,0.017633530053322202
128,-0.9944066718842159,0.017633690794067042
129,-0.9944072677871564,0.017633871892141297
130,-0.9944090056173365,0.017634411140249863
131,-0.9944090196793121,0.017634415597886137
132,-0.9944090429552778,0.017634422976079363
133,-0.9944090579725013,0.017634421653911457
134,-0.9944093654078408,0.017634517848749618
135,-0.9944093672511162,0.017634518433101234
136,-0.9944832265206307,0.017639207802325373
137,-0.9945078172081506,0.017592778351046955
138,-0.9945081219959845,0.01759287326843177
139,-0.9945699029337212,0.017488912785545017
140,-0.994579939475396,0.01747401226448979
141,-0.994579939477329,0.017474012265089205
142,-0.9948174978211699,0.017286665477574306
143,-0.9948175457018748,0.017286678023339698
144,-0.9948175875936596,0.017286690568560293
145,-0.994817587645956,0.017286690584225165
146,-0.9948667523022583,0.017288072606476607
147,-0.9948667541669393,0.017288073159863162
148,-0.9948667544682108,0.017288073238620503
149,-0.9948667684929388,0.01728807740175295
150,-0.9948667725270216,0.0172880785988227
151,-0.9948667975750445,0.017288086035028686
152,-0.9948668039952877,0.017288087940276874
153,-0.994873696397066,0.017289976427694965
154,-0.99487370341946,0.017289978508866797
155,-0.9948737034543259,0.01728997851920016
156,-0.9948737035600037,0.01728997855053216
157,-0.9948737035601557,0.017289978550577286
158,-0.9948737038608148,0.017289978639718883
159,-0.9948737116651847,0.017289980952721894
160,-0.994873711665192,0.017289980952724073
161,-0.9948740600757863,0.017290083630492375
162,-0.9948740600761776,0.017290083630608456
163,-0.9948740601105972,0.017290083640812325
164,-0.9948740601105988,0.01729008364081281
165,-0.994874060110601,0.01729008364081348
166,-0.9948740827964929,0.01729008746551034
167,-0.994874192702036,0.017290119998971273
168,-0.9948741928888641,0.017290120054357906
169,-0.9948763834194329,0.017290752986512815
170,-0.9948763834194416,0.017290752986515372
171,-0.9948763834198302,0.017290752986630503
172,-0.9948981428034585,0.017295772642010813
173,-0.9948981470665824,0.017295773899481573
174,-0.9948981470974287,0.017295773908580534
175,-0.9948981470991669,0.017295773909093266
176,-0.9948981470991839,0.01729577390909828
177,-0.9948984338823094,0.017295858228677217
178,-0.9954701442457851,0.016261661934492293
179,-0.9954704011064824,0.016261733272087728
180,-0.9954704011064827,0.016261733272087776
181,-0.9954704546499354,0.01626174817446684
182,-0.9954704632576634,0.016261750571823066
183,-0.9954704706821134,0.016261752639233573
184,-0.9954704798529519,0.016261755172940536
185,-0.9954704798529994,0.01626175517295375
186,-0.9954704972775471,0.016261760025052502
187,-0.9954704975786182,0.01626176010890599
188,-0.9955193869176334,0.016262855468088637
189,-0.995519388680178,0.01626285595364478
190,-0.9955193924153469,0.01626285698268314
191,-0.9955194254159199,0.01626286606965067
192,-0.9955194402856539,0.016262870165941815
193,-0.9955194402872961,0.01626287016639425
194,-0.9955194403568473,0.016262870185556198
195,-0.9955194403570933,0.01626287018562392
196,-0.9955194403571527,0.016262870185640266
197,-0.9955194406077045,0.016262870254669264
198,-0.9955427512739682,0.0161793543711435
199,-0.9955427512751944,0.01617935437148132
