Metric,Value
Total Execution Time (s),24.03095841407776
Success Rate (%),78.0
Average Best Fitness,-0.9811964820904753
Best Solution Found,-0.9999999972309521
Chromosome for Best Solution,[4.516509496543585e-06, -7.4825574264681675e-06]
Mean of Optimal Points,[0.03408820582941478, 0.023932257709724795]
Standard Deviation of Optimal Points,[0.16709296903523094, 0.1732636430631838]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.3
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,50
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP50
