Metric,Value
Total Execution Time (s),18.73611330986023
Success Rate (%),38.0
Average Best Fitness,-0.9566875077167717
Best Solution Found,-0.9999995381502164
Chromosome for Best Solution,[8.80366530319408e-05, -7.064158394192864e-05]
Mean of Optimal Points,[0.22466413194766044, 0.10032088078862128]
Standard Deviation of Optimal Points,[0.2435744554735572, 0.21929185838138254]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR50
