Metric,Value
Total Execution Time (s),115.94279527664185
Success Rate (%),100.0
Average Best Fitness,5.597974456271896e-07
Best Solution Found,2.888746143425376e-14
Chromosome for Best Solution,[1.0000000057696836, 0.9999998390739089]
Mean of Optimal Points,[1.0000011292055253, 1.0000042500303954]
Standard Deviation of Optimal Points,[7.544505970749895e-05, 0.00021994529289061127]

CONFIGURATION
POPULATION_SIZE,400
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_POP400
