Metric,Value
Total Execution Time (s),17.926674365997314
Success Rate (%),47.0
Average Best Fitness,-0.961945851616931
Best Solution Found,-0.9999981959808493
Chromosome for Best Solution,[-0.00016875847039349485, -0.00014589946655160617]
Mean of Optimal Points,[0.08761750969083155, 0.14394710906212208]
Standard Deviation of Optimal Points,[0.22735871627586987, 0.25197317045509876]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.6
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR60
