Metric,Value
Total Execution Time (s),101.0256679058075
Success Rate (%),69.0
Average Best Fitness,-0.9834726646545026
Best Solution Found,-0.9999999999999809
Chromosome for Best Solution,[-6.015759814972612e-10, 2.2936812621326693e-08]
Mean of Optimal Points,[0.000129949280166672, 0.00025699600444634564]
Standard Deviation of Optimal Points,[0.0006149528835635319, 0.00113100987766833]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.6
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR60
