Metric,Value
Total Execution Time (s),63.667489528656006
Success Rate (%),100.0
Average Best Fitness,9.158646991154204e-06
Best Solution Found,1.0112032540933745e-16
Chromosome for Best Solution,[0.9999999999311189, 1.0000000100346467]
Mean of Optimal Points,[1.0000343968364158, 1.0000325010985378]
Standard Deviation of Optimal Points,[0.00031248194663649313, 0.000529845885614189]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,80
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExp_EP40
