Metric,Value
Total Execution Time (s),55.762266874313354
Success Rate (%),66.0
Average Best Fitness,-0.9794249826693925
Best Solution Found,-1.0
Chromosome for Best Solution,[5.110254744307705e-10, 1.401576822006087e-09]
Mean of Optimal Points,[-0.0001357890410971659, 0.00028054367746785337]
Standard Deviation of Optimal Points,[0.0006586359203090773, 0.0008647967860396557]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.15000000000000002
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_POP100
