Metric,Value
Total Execution Time (s),59.30273962020874
Success Rate (%),100.0
Average Best Fitness,1.0873428498978745e-05
Best Solution Found,4.851622446231831e-18
Chromosome for Best Solution,[1.0000000002305087, 0.9999999997193532]
Mean of Optimal Points,[1.0000019269521332, 1.0000238510634842]
Standard Deviation of Optimal Points,[0.0003461499136057992, 0.0003315868103414719]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.15000000000000002
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,60
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExp_EP30
