Metric,Value
Total Execution Time (s),100.18523359298706
Success Rate (%),82.0
Average Best Fitness,-0.9889905693487635
Best Solution Found,-1.0
Chromosome for Best Solution,[4.730365854521187e-12, 4.665374578432198e-11]
Mean of Optimal Points,[-5.78694009985157e-05, 5.102668585786947e-05]
Standard Deviation of Optimal Points,[0.00041218136304147683, 0.00038002652517376873]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR80
