Metric,Value
Total Execution Time (s),18.61177682876587
Success Rate (%),55.00000000000001
Average Best Fitness,-0.9688898399925029
Best Solution Found,-0.9999999247716589
Chromosome for Best Solution,[-4.551814612428244e-05, -1.8338512786399402e-06]
Mean of Optimal Points,[0.08779977813682738, 0.1138463910610867]
Standard Deviation of Optimal Points,[0.2323501401028285, 0.2172162061105896]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR80
