Metric,Value
Total Execution Time (s),19.608033180236816
Success Rate (%),69.0
Average Best Fitness,-0.9755976639279861
Best Solution Found,-0.9999999999094471
Chromosome for Best Solution,[-1.5457982612424124e-06, 3.2941456333169997e-07]
Mean of Optimal Points,[0.04989109069170801, 0.055728025307523105]
Standard Deviation of Optimal Points,[0.17473340376416577, 0.21886479228109043]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.3
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP20
