Generation,StdDevDiversity,EuclideanDiversity
0,58.386587645273835,106.17306805935637
1,20.926456041578312,35.92725786273038
2,2.0137720862968855,1.7614898594164183
3,0.25834517345877583,0.4620315734740695
4,0.2273853964830756,0.39609443815554013
5,0.2367806430348468,0.405740744752783
6,0.22651090646864375,0.3857567990420363
7,0.22370633353254663,0.37063699044437265
8,0.2391388276570775,0.41276692821273286
9,0.2232141953354676,0.3746303581338935
10,0.2270008312505861,0.38179410649824047
11,0.20300435436223194,0.328783965752738
12,0.21508952244384955,0.35769989572713096
13,0.2084912428747722,0.33206629931650417
14,0.22362291832497172,0.37002598265271763
15,0.22815831027695732,0.3850674193828493
16,0.22099749169360916,0.36676659660834715
17,0.22738702268226588,0.372905871770969
18,0.2054592186195574,0.340011176817958
19,0.21731243576672124,0.35892898738291756
20,0.2283466744273948,0.3929440471164812
21,0.23559730567826023,0.39852786255196654
22,0.20004922162855648,0.3080111590054294
23,0.23079882245217542,0.39217717207170516
24,0.20859297454800024,0.3516803554597745
25,0.21534310232176906,0.3465381524133493
26,0.20734386405948044,0.3406337959197409
27,0.20982366020465898,0.35034340724460655
28,0.21913668981070528,0.36504379808183274
29,0.2073767552114675,0.3409134048618891
30,0.23968848761856135,0.4052495009097014
31,0.22555289923276634,0.38751834725054096
32,0.2344904671309661,0.387642965481259
33,0.19949921993689518,0.32255017566112565
34,0.23011032004802326,0.38443821896202873
35,0.23536769483662112,0.3947019899421399
36,0.22923896280966422,0.38060136153225205
37,0.2088174353633299,0.34395957873039745
38,0.2401336625794538,0.3832786909569552
39,0.23225841513394319,0.3960898564083745
40,0.2316131864890738,0.3868762268629779
41,0.23539482003434403,0.3925941250037399
42,0.21505339115638034,0.3586265843641237
43,0.2315314211968787,0.39225866933128667
44,0.25032327268987764,0.43776492609470713
45,0.2780150049568731,0.48476709923990513
46,0.28744141792721944,0.5026769773562286
47,0.2956380606330751,0.5155889702619527
48,0.3178976093747006,0.550435025295055
49,0.3041049244783177,0.5121420817255723
50,0.33046566261476684,0.5684995156863853
51,0.2990208299033615,0.5066581524000002
52,0.3085098818634813,0.5226631578945433
53,0.297358257073021,0.5068805188405816
54,0.32938110362225936,0.5678821253027978
55,0.30995653483236907,0.527726313287901
56,0.3113124513599852,0.5147242375732686
57,0.27203071528558287,0.44885352035331477
58,0.32645787934519743,0.5728632116735474
59,0.32201574978793646,0.5609069631620449
60,0.3094577137099306,0.5310037410666356
61,0.2877961187223493,0.4918622371247052
62,0.31847699585595557,0.5493060153062646
63,0.3223919374456672,0.5461133348161455
64,0.3275080205927465,0.5630217901201613
65,0.28816148855211177,0.47948142947650474
66,0.3131257760581873,0.5274538138100889
67,0.29341716772822785,0.4930027997546331
68,0.31941610912943963,0.5521271604223189
69,0.30135226301232987,0.5017511961263211
70,0.30470938031169614,0.5190452136923943
71,0.3242566655450131,0.5388162070829552
72,0.3080231808663148,0.5139251401495399
73,0.31773681442509405,0.5437425272419629
74,0.30106085727938786,0.508898982366854
75,0.30724145012246207,0.5324838605304992
76,0.34406370892106797,0.590928508453457
77,0.31155470159572085,0.5330370704820175
78,0.33273289990284094,0.5766941923274821
79,0.3239392972747241,0.5720763596635753
80,0.3172014857926494,0.549775403187484
81,0.3501990084675001,0.6145105939186861
82,0.3092998752128758,0.5325273601274071
83,0.29315549855816914,0.49306895656194244
84,0.3184226467597838,0.5341922385671989
85,0.3236489110472017,0.5568167825772428
86,0.3223385790548312,0.5369676447522553
87,0.32432947870492385,0.5592483581065629
88,0.296805449587748,0.5061945361341508
89,0.3092012587561704,0.5166201946049684
90,0.32889730371211223,0.5554301416473032
91,0.29648780732011915,0.49543886425503686
92,0.3017252264605751,0.5061528829548197
93,0.3431466423183833,0.5830772575180254
94,0.3144619023185289,0.5273318746828767
95,0.30032339198396124,0.5109805187652863
96,0.3183172126809437,0.5319680875156214
97,0.3181327637911328,0.5418731381829994
98,0.31701702118936204,0.5352162805658821
99,0.30595100538544423,0.5176708286860813
