Metric,Value
Total Execution Time (s),27.77839159965515
Success Rate (%),99.0
Average Best Fitness,-0.9993016250545622
Best Solution Found,-0.9999998089123847
Chromosome for Best Solution,[4.589849803282586e-05, 5.625576155166012e-05]
Mean of Optimal Points,[0.0019024318410528907, 0.005569109840744269]
Standard Deviation of Optimal Points,[0.012148410577003452, 0.05025365223488037]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP10
