Metric,Value
Total Execution Time (s),18.600447416305542
Success Rate (%),43.0
Average Best Fitness,-0.9589576866522261
Best Solution Found,-0.9999999834671232
Chromosome for Best Solution,[-1.8422304203299833e-05, -1.080268802162046e-05]
Mean of Optimal Points,[0.19863535214566463, 0.054168260451293124]
Standard Deviation of Optimal Points,[0.23148777004541293, 0.24165208996836085]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.3
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR30
