Generation,Value,StdDev
0,57.48812061464864,1.9855981835332706
1,11.390419846147347,1.97952057636252
2,0.28309022517914506,0.009145015344209013
3,0.27790898339239134,0.009914369182193015
4,0.27951161246502865,0.00928893748858667
5,0.2798541491925402,0.010583735266739825
6,0.28140606817859576,0.009900618052971101
7,0.2832622664288202,0.009449087434713788
8,0.2846299621147817,0.01149295534511348
9,0.28630024827293754,0.011456948330517079
10,0.2850015323187833,0.011561409815741308
11,0.2874454870249128,0.012048840404684234
12,0.28878519288895416,0.01123188339807763
13,0.28831145340688386,0.014612471290134531
14,0.2904554124319773,0.013242499310522222
15,0.2917329916825018,0.012222659787276432
16,0.2929835707612323,0.01264121946877407
17,0.29572226408988844,0.013581691033942016
18,0.2970873965956918,0.014883351795213422
19,0.29809895673726206,0.014584409285017643
20,0.2992326471491592,0.014257395556580971
21,0.2998264469419418,0.013799449805682347
22,0.30309998200578664,0.015172220248144465
23,0.30419825695588193,0.015226547605274962
24,0.3060794727100018,0.013139261392341431
25,0.30555648655038176,0.01411057680629624
26,0.30674522200450094,0.014478383562176116
27,0.3075960658294598,0.013517875890390128
28,0.30941514573669937,0.013019589007517178
29,0.3100897214341869,0.012128268333408495
