Metric,Value
Total Execution Time (s),25.031490564346313
Success Rate (%),54.0
Average Best Fitness,-0.9730284186582737
Best Solution Found,-0.9999997054036164
Chromosome for Best Solution,[6.325828459563532e-05, 6.422761881264005e-05]
Mean of Optimal Points,[0.13702590087817013, 0.13238087237845417]
Standard Deviation of Optimal Points,[0.18938533047027287, 0.1828470073862379]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,0
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP0
