Metric,Value
Total Execution Time (s),53.634897232055664
Success Rate (%),100.0
Average Best Fitness,4.581632915155468e-06
Best Solution Found,5.015575339596988e-14
Chromosome for Best Solution,[0.9999999810556681, 0.9999998661413136]
Mean of Optimal Points,[1.0000251939121447, 0.9999892990740349]
Standard Deviation of Optimal Points,[0.0002123960386449826, 0.0006871396206837133]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,40
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExp_EP20
