Metric,Value
Total Execution Time (s),114.32732343673706
Success Rate (%),88.0
Average Best Fitness,-0.9946680287966604
Best Solution Found,-1.0
Chromosome for Best Solution,[-5.579270544899776e-10, 1.397761252045926e-09]
Mean of Optimal Points,[5.213785344044782e-05, 8.376101174055558e-05]
Standard Deviation of Optimal Points,[0.000420247490047234, 0.0003959220429625053]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_POP200
