Generation,StdDevDiversity,EuclideanDiversity
0,46.00712004579275,82.88566175954195
1,34.95467244796389,62.23572226450678
2,21.76262850664053,39.13762235229217
3,17.363437337491447,31.13561006611755
4,20.68679388962697,36.99783305852332
5,20.948115205300986,36.91964823234595
6,20.546635358899522,36.0254104085196
7,3.5006684632773855,4.803926852584675
8,20.364207117535912,35.326464783514766
9,14.86118466706969,24.244641201195495
10,0.441191686393575,0.6173188512862482
11,19.71099159953921,34.45899103264708
12,0.3288463423531166,0.5422049675271302
13,21.28866272551749,36.8872819663137
14,17.536176651096806,28.492697163104072
15,9.47090912377482,13.090268574614587
16,5.404397932328472,7.1280233566301066
17,3.093089567080204,3.279516766984659
18,19.780848848071656,34.26920638845288
19,14.719262222517088,23.96180876943514
20,12.570373454160428,18.815467804400665
21,9.615482651320939,12.96986003159133
22,0.29308360230175556,0.4312611135819142
23,0.34063527309954156,0.5262485868470568
24,0.4665663977347053,0.6526141405426014
25,0.39785505095494045,0.5505879905269682
26,0.4501778151329864,0.6691212154651046
27,21.064666904023653,36.36693149403275
28,20.86971135725372,36.25156195178398
29,13.371229189424149,21.444271050451725
30,8.100310226801572,11.398468369420646
31,21.617674550929728,37.4545444616142
32,0.35687714026989015,0.4121599011800431
33,19.475805708704044,33.393281239354344
34,12.80844326528058,21.41701302525706
35,10.117354843220184,16.367555637619777
36,9.17912442311232,13.714429110712764
37,0.2752696855098373,0.2703870598256631
38,0.48258173041510055,0.6458478231887983
39,21.067589434998823,36.66727901965511
40,20.113244599570187,34.65057742055238
41,12.14067714658368,18.563902180886373
42,0.337258987558538,0.42693941280814895
43,0.27964216380203766,0.2958396580356901
44,0.2780447419093859,0.27007025046536537
45,0.3659115160841633,0.46254178014980263
46,18.819616750541556,32.69389622865667
47,11.415994519273779,18.15669263849656
48,18.72459427584402,32.53618837135471
49,13.009183419600605,22.082268346095237
50,7.825658196963243,11.220342352125517
51,7.577968664431754,11.098270990582169
52,5.163095701390756,7.181479391181672
53,0.3194853941316723,0.39078641595872626
54,0.28625338032663145,0.38505953508440793
55,0.3912419631817907,0.510837647466735
56,0.504333505414128,0.663179711398195
57,0.23163190548098084,0.24677766528202016
58,20.770439835955024,35.91557402589826
59,14.939349766205625,24.88004085406385
60,20.28460371759698,34.983973572212484
61,0.26248905933766487,0.2659286386518969
62,0.3185495137177341,0.41221687203878593
63,0.39132141261311026,0.5499010762392189
64,0.39566516278091607,0.533583179358785
65,0.3315530468335478,0.39938428765326783
66,0.3842063860052519,0.4793971553205694
67,0.42934590333332456,0.5332582766695878
68,0.4008782992565814,0.4391214567212332
69,21.005907747340764,36.228835516394476
70,0.285409538252003,0.35799539884508885
71,0.39951641506120217,0.48791231527068213
72,0.4412728277519621,0.6327779943943517
73,20.711908642741044,35.816573260305105
74,19.546840503788545,34.22634129625747
75,0.2925548983385014,0.38006164385981867
76,0.4523788698901622,0.604563326189812
77,20.75713233157626,35.9878706435823
78,16.145611888852972,27.350618788311557
79,0.23326286115010403,0.27301880793810224
80,20.454053364018222,35.753727385722605
81,16.726687542971106,28.105440911298682
82,20.658798788052074,35.55985789264006
83,0.26394817703190865,0.303641148235959
84,0.33061707488318837,0.4929400567665246
85,0.3398964422056936,0.4048406206916501
86,0.3756822233627957,0.4265815922961222
87,0.24761805230988138,0.32027912507337
88,0.32042904607520273,0.42127804800315366
89,0.3129481986945287,0.36658301166038576
90,0.4932178409331669,0.7141562346070853
91,0.5391746777576685,0.8335109502195428
92,0.5468730056033666,0.8302168403581532
93,0.48955782856926444,0.7113506639883845
94,20.492636834619283,35.295965417766574
95,21.104632644287122,36.690089449697346
96,20.41286408581141,35.196604977644725
97,20.950216328788642,36.63989119009526
98,20.013051767922935,34.49807224003898
99,19.548832573812675,34.0862983477566
