Metric,Value
Total Execution Time (s),30.41422390937805
Success Rate (%),67.0
Average Best Fitness,-0.980204931140019
Best Solution Found,-0.99999999999943
Chromosome for Best Solution,[-2.150870537723986e-09, 1.2537300101991205e-07]
Mean of Optimal Points,[-6.199480807987171e-05, -5.394110083363191e-05]
Standard Deviation of Optimal Points,[0.0015690021797839055, 0.001215205333742817]

CONFIGURATION
POPULATION_SIZE,50
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.22500000000000003
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_POP50
